"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",61.50719,38.82519,295.78,0.41,0.45,"2023-04-12",43,1,"nominal","2.0NRT",266.82,0.5,"N"
"2",61.41458,38.59486,307.01,0.41,0.45,"2023-04-12",43,1,"nominal","2.0NRT",264.9,0.88,"N"
"3",58.44617,42.95346,310.05,0.35,0.57,"2023-04-12",43,1,"nominal","2.0NRT",267.63,1.06,"N"
"4",59.14995,37.87019,328.6,0.46,0.47,"2023-04-12",43,1,"nominal","2.0NRT",272.3,4,"N"
"5",59.14242,37.82527,297.89,0.46,0.47,"2023-04-12",43,1,"nominal","2.0NRT",266.05,0.98,"N"
"6",59.14052,37.81413,299.16,0.46,0.47,"2023-04-12",43,1,"nominal","2.0NRT",265.62,1.16,"N"
"7",59.13092,37.79483,326.36,0.46,0.47,"2023-04-12",43,1,"nominal","2.0NRT",267.48,4,"N"
"8",59.53049,34.14531,310.25,0.53,0.42,"2023-04-12",43,1,"nominal","2.0NRT",271.63,1.98,"N"
"9",59.52438,34.17107,299.12,0.53,0.42,"2023-04-12",43,1,"nominal","2.0NRT",271.99,1.23,"N"
"10",59.38456,28.46295,309.46,0.41,0.37,"2023-04-12",43,1,"nominal","2.0NRT",275.83,1.54,"N"
"11",59.06397,28.13664,295.86,0.4,0.37,"2023-04-12",43,1,"nominal","2.0NRT",274.62,0.76,"N"
"12",57.82497,29.00325,296.36,0.43,0.38,"2023-04-12",43,1,"nominal","2.0NRT",272.1,0.25,"N"
"13",54.00302,41.69926,317.97,0.48,0.65,"2023-04-12",45,1,"nominal","2.0NRT",267.88,2.95,"N"
"14",54.00071,41.70573,305.4,0.48,0.65,"2023-04-12",45,1,"nominal","2.0NRT",268.89,2.66,"N"
"15",55.49582,35.86246,299.03,0.53,0.5,"2023-04-12",45,1,"nominal","2.0NRT",271.77,0.71,"N"
"16",54.03939,37.97444,296.33,0.35,0.57,"2023-04-12",45,1,"nominal","2.0NRT",268.77,0.31,"N"
"17",54.13538,37.55217,296.39,0.34,0.56,"2023-04-12",45,1,"nominal","2.0NRT",268.62,0.55,"N"
"18",54.16466,37.40081,322.1,0.33,0.56,"2023-04-12",45,1,"nominal","2.0NRT",268.14,1.78,"N"
"19",54.65296,34.12218,300.44,0.49,0.49,"2023-04-12",45,1,"nominal","2.0NRT",269.23,1.52,"N"
"20",54.56687,33.78598,300.36,0.48,0.48,"2023-04-12",45,1,"nominal","2.0NRT",272.55,0.87,"N"
"21",54.56698,33.78608,297.58,0.48,0.48,"2023-04-12",45,1,"nominal","2.0NRT",272.47,1.05,"N"
"22",54.72237,32.46141,296.37,0.43,0.46,"2023-04-12",45,1,"nominal","2.0NRT",271.87,2.21,"N"
"23",54.72079,32.46762,303.79,0.43,0.46,"2023-04-12",45,1,"nominal","2.0NRT",271.11,0.92,"N"
"24",54.72006,32.45234,329.74,0.43,0.46,"2023-04-12",45,1,"nominal","2.0NRT",271.42,2.21,"N"
"25",54.44653,33.50381,296.61,0.47,0.48,"2023-04-12",45,1,"nominal","2.0NRT",269.51,0.51,"N"
"26",52.56387,39.62588,297.22,0.46,0.64,"2023-04-12",45,1,"nominal","2.0NRT",268.76,2.32,"N"
"27",52.56079,39.6152,309.04,0.46,0.64,"2023-04-12",45,1,"nominal","2.0NRT",269.53,2.21,"N"
"28",52.56075,39.57619,305.91,0.46,0.63,"2023-04-12",45,1,"nominal","2.0NRT",271.05,1.07,"N"
"29",52.55984,39.61673,316,0.46,0.64,"2023-04-12",45,1,"nominal","2.0NRT",270.75,2.74,"N"
"30",52.5597,39.57753,300.56,0.46,0.63,"2023-04-12",45,1,"nominal","2.0NRT",270.64,1.34,"N"
"31",52.54139,39.63131,296.71,0.46,0.64,"2023-04-12",45,1,"nominal","2.0NRT",265.4,2.24,"N"
"32",52.55461,39.57268,317.78,0.46,0.63,"2023-04-12",45,1,"nominal","2.0NRT",268.23,1.66,"N"
"33",51.52153,40.03561,300.99,0.52,0.67,"2023-04-12",45,1,"nominal","2.0NRT",269.4,1.29,"N"
"34",51.71131,36.96537,301.06,0.39,0.6,"2023-04-12",45,1,"nominal","2.0NRT",270.72,0.96,"N"
"35",51.32094,36.75027,303.21,0.4,0.6,"2023-04-12",45,1,"nominal","2.0NRT",272.42,1.26,"N"
"36",44.77314,33.86129,295.7,0.5,0.65,"2023-04-12",48,1,"nominal","2.0NRT",275.97,0.74,"N"
"37",45.37493,30.92934,355.1,0.35,0.57,"2023-04-12",48,1,"nominal","2.0NRT",280.33,5.22,"N"
"38",45.37297,30.92933,343.75,0.35,0.57,"2023-04-12",48,1,"nominal","2.0NRT",278.55,4.72,"N"
