"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",67.59601,83.25005,320.78,0.72,0.76,"2022-12-20",56,1,"nominal","2.0NRT",241,4,"N"
"2",67.5979,83.24837,324.92,0.72,0.76,"2022-12-20",56,1,"nominal","2.0NRT",238.88,3.87,"N"
"3",67.561,83.21583,322.13,0.73,0.76,"2022-12-20",56,1,"nominal","2.0NRT",240.52,2.54,"N"
"4",68.57662,80.31457,329.92,0.59,0.7,"2022-12-20",56,1,"nominal","2.0NRT",235.69,8.8,"N"
"5",68.57145,80.31886,352.43,0.59,0.7,"2022-12-20",56,1,"nominal","2.0NRT",241.97,10.57,"N"
"6",68.52978,79.95789,367,0.59,0.7,"2022-12-20",56,1,"high","2.0NRT",242.27,19.61,"N"
"7",68.5246,79.96223,345.14,0.59,0.7,"2022-12-20",56,1,"nominal","2.0NRT",247.13,19.61,"N"
"8",68.5302,79.95435,353.12,0.59,0.7,"2022-12-20",56,1,"nominal","2.0NRT",239.39,27.54,"N"
"9",68.52506,79.95877,333.78,0.59,0.7,"2022-12-20",56,1,"nominal","2.0NRT",256.67,27.54,"N"
"10",66.67141,80.45274,325.04,0.8,0.78,"2022-12-20",56,1,"nominal","2.0NRT",239.2,6.67,"N"
"11",70.92096,74.76394,331.99,0.37,0.58,"2022-12-20",56,1,"nominal","2.0NRT",245.85,2.12,"N"
"12",70.91886,74.74868,329.97,0.37,0.58,"2022-12-20",56,1,"nominal","2.0NRT",243.48,2.12,"N"
"13",66.64886,77.45604,324.82,0.75,0.77,"2022-12-20",56,1,"nominal","2.0NRT",240.14,3.71,"N"
"14",71.25712,71.83466,367,0.33,0.56,"2022-12-20",56,1,"high","2.0NRT",258.11,6.92,"N"
"15",66.41751,77.35235,337.96,0.78,0.78,"2022-12-20",56,1,"nominal","2.0NRT",238.51,5.62,"N"
"16",66.50928,77.15356,328.68,0.76,0.77,"2022-12-20",56,1,"nominal","2.0NRT",237.56,5.46,"N"
"17",66.46287,77.19594,344.32,0.77,0.77,"2022-12-20",56,1,"nominal","2.0NRT",235.41,11.16,"N"
"18",66.45634,77.2019,325.42,0.77,0.77,"2022-12-20",56,1,"nominal","2.0NRT",238.77,9.92,"N"
"19",66.99784,76.39035,351.47,0.7,0.75,"2022-12-20",56,1,"nominal","2.0NRT",240.53,11.42,"N"
"20",66.95983,75.54131,367,0.69,0.74,"2022-12-20",56,1,"high","2.0NRT",242.13,13.72,"N"
"21",66.95722,75.52498,326.6,0.69,0.74,"2022-12-20",56,1,"nominal","2.0NRT",240.87,4.67,"N"
"22",66.9597,75.53682,347.98,0.69,0.74,"2022-12-20",56,1,"nominal","2.0NRT",240.97,13.58,"N"
