"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",68.57523,80.31895,367,0.56,0.69,"2023-01-11",43,1,"high","2.0NRT",233.69,12.9,"N"
"2",68.5716,80.3121,367,0.56,0.69,"2023-01-11",43,1,"high","2.0NRT",236.36,13.01,"N"
"3",66.66826,80.45454,367,0.75,0.77,"2023-01-11",43,1,"high","2.0NRT",235.26,24.21,"N"
"4",70.92239,74.76089,330.45,0.35,0.57,"2023-01-11",43,1,"nominal","2.0NRT",232.11,2.49,"N"
"5",71.26086,72.06939,328.45,0.63,0.54,"2023-01-11",43,1,"nominal","2.0NRT",238.7,3.34,"N"
"6",71.26026,72.06592,328.38,0.63,0.54,"2023-01-11",43,1,"nominal","2.0NRT",238.63,3.45,"N"
"7",66.99567,76.40478,367,0.65,0.73,"2023-01-11",43,1,"high","2.0NRT",237.89,10.48,"N"
"8",66.06726,77.28032,343.79,0.76,0.77,"2023-01-11",43,1,"nominal","2.0NRT",231.45,7.28,"N"
"9",67.01691,76.19205,335.97,0.65,0.73,"2023-01-11",43,1,"nominal","2.0NRT",230.29,4.35,"N"
"10",66.06178,77.27245,320.02,0.76,0.77,"2023-01-11",43,1,"nominal","2.0NRT",232.93,5.6,"N"
"11",67.02048,76.1937,320.22,0.64,0.72,"2023-01-11",43,1,"nominal","2.0NRT",227.19,5.31,"N"
"12",66.1071,76.84122,367,0.75,0.77,"2023-01-11",43,1,"high","2.0NRT",233.68,8.9,"N"
"13",66.10068,76.84801,332.88,0.75,0.77,"2023-01-11",43,1,"nominal","2.0NRT",233.07,8.9,"N"
"14",66.10934,76.84127,345.74,0.75,0.77,"2023-01-11",43,1,"nominal","2.0NRT",230.82,11.23,"N"
"15",66.10298,76.84812,349.96,0.75,0.77,"2023-01-11",43,1,"nominal","2.0NRT",234.9,11.23,"N"
"16",66.95981,75.53833,367,0.64,0.72,"2023-01-11",43,1,"high","2.0NRT",233.71,12.36,"N"
