"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",45.37764,30.92739,337.34,0.59,0.53,"2022-10-29",39,1,"nominal","2.0NRT",280.93,3.38,"N"
"2",45.37307,30.92495,295.72,0.59,0.53,"2022-10-29",39,1,"nominal","2.0NRT",276.15,3.38,"N"
"3",45.6876,26.94422,295.44,0.39,0.44,"2022-10-29",41,1,"nominal","2.0NRT",277.29,0.33,"N"
"4",45.42273,27.96616,325.53,0.43,0.46,"2022-10-29",41,1,"nominal","2.0NRT",279.65,2.18,"N"
"5",45.42023,27.97677,297.16,0.44,0.46,"2022-10-29",41,1,"nominal","2.0NRT",280,0.69,"N"
"6",66.21159,77.22954,367,0.69,0.74,"2022-10-29",33,1,"high","2.0NRT",264.05,13.63,"N"
"7",66.21474,77.23976,343.7,0.69,0.74,"2022-10-29",33,1,"nominal","2.0NRT",262.54,11.08,"N"
"8",66.20909,77.24667,326.15,0.69,0.74,"2022-10-29",33,1,"nominal","2.0NRT",262.84,13.04,"N"
"9",66.26051,77.01247,327.23,0.68,0.74,"2022-10-29",33,1,"nominal","2.0NRT",261.63,4.51,"N"
"10",64.8708,75.48367,321.82,0.79,0.78,"2022-10-29",33,1,"nominal","2.0NRT",262.63,4.4,"N"
"11",64.87381,75.49043,332.13,0.79,0.78,"2022-10-29",33,1,"nominal","2.0NRT",263.27,5.18,"N"
"12",64.96146,73.25163,335.97,0.73,0.76,"2022-10-29",33,1,"nominal","2.0NRT",262.56,5.24,"N"
"13",69.26775,57.29375,332.73,0.46,0.47,"2022-10-29",35,1,"nominal","2.0NRT",273.87,1.69,"N"
"14",69.26465,57.285,300.74,0.46,0.47,"2022-10-29",35,1,"nominal","2.0NRT",272.25,1.69,"N"
"15",68.65777,57.69461,326.04,0.5,0.49,"2022-10-29",35,1,"nominal","2.0NRT",260.19,2.2,"N"
"16",43.23544,27.59331,295.74,0.47,0.48,"2022-10-29",41,1,"nominal","2.0NRT",280.4,1.29,"N"
"17",41.26492,31.4232,303.47,0.41,0.61,"2022-10-29",41,1,"nominal","2.0NRT",284.74,2.17,"N"
"18",41.26364,31.42774,298.6,0.41,0.61,"2022-10-29",41,1,"nominal","2.0NRT",284.47,1.15,"N"
