"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",52.8469,29.98746,325.55,0.39,0.44,"2023-03-27",45,1,"nominal","2.0NRT",275.74,2.07,"N"
"2",52.8456,29.99298,297.92,0.39,0.44,"2023-03-27",45,1,"nominal","2.0NRT",274.79,2.07,"N"
"3",52.0719,31.08696,304.14,0.45,0.47,"2023-03-27",45,1,"nominal","2.0NRT",270.72,0.52,"N"
"4",51.89413,29.34105,319.26,0.39,0.44,"2023-03-27",45,1,"nominal","2.0NRT",277.23,1.61,"N"
"5",51.89031,29.33871,296.87,0.39,0.44,"2023-03-27",45,1,"nominal","2.0NRT",275.03,0.82,"N"
"6",50.54556,26.25932,302.96,0.5,0.41,"2023-03-27",45,1,"nominal","2.0NRT",273.26,1.69,"N"
"7",47.78467,29.01893,297.92,0.49,0.49,"2023-03-27",48,1,"nominal","2.0NRT",276.28,1.4,"N"
"8",47.79175,28.95273,305.84,0.49,0.48,"2023-03-27",48,1,"nominal","2.0NRT",275.31,1.13,"N"
"9",45.37806,30.931,303.93,0.35,0.57,"2023-03-27",48,1,"nominal","2.0NRT",278.59,2.42,"N"
"10",45.3732,30.92824,349.83,0.35,0.57,"2023-03-27",48,1,"nominal","2.0NRT",280.63,2.42,"N"
"11",45.37438,30.92409,295.01,0.35,0.57,"2023-03-27",48,1,"nominal","2.0NRT",277.79,3.18,"N"
"12",45.37603,30.93091,344.27,0.35,0.57,"2023-03-27",48,1,"nominal","2.0NRT",281.48,4.51,"N"
"13",45.37719,30.92674,317.22,0.35,0.57,"2023-03-27",48,1,"nominal","2.0NRT",278.09,3.55,"N"
"14",41.17502,32.63218,295.02,0.56,0.69,"2023-03-27",48,1,"nominal","2.0NRT",278.85,0.81,"N"
"15",41.26474,31.42263,304.58,0.49,0.65,"2023-03-27",48,1,"nominal","2.0NRT",280.87,1.84,"N"
"16",41.26314,31.42797,295.45,0.49,0.65,"2023-03-27",48,1,"nominal","2.0NRT",281.45,1.53,"N"
"17",41.25521,31.41132,324.55,0.49,0.65,"2023-03-27",48,1,"nominal","2.0NRT",278.74,2.85,"N"
"18",40.74886,29.76512,309.45,0.42,0.61,"2023-03-27",50,1,"nominal","2.0NRT",282.12,2.25,"N"
"19",39.86601,26.2459,298.95,0.59,0.53,"2023-03-27",50,1,"nominal","2.0NRT",278.23,1.24,"N"
"20",38.75457,26.94895,296.11,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",279.48,1.09,"N"
"21",38.75358,26.95271,317.49,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",281.52,1.64,"N"
"22",38.7438,26.94831,300.09,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",280.19,0.69,"N"
"23",38.73888,26.94624,304.98,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",281.76,0.69,"N"
"24",38.73403,26.96463,301.32,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",278.69,0.49,"N"
"25",38.74084,26.947,299.55,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",279.83,0.6,"N"
"26",38.73602,26.96571,299.07,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",278.41,0.54,"N"
"27",38.73592,26.9449,298.77,0.34,0.56,"2023-03-27",50,1,"nominal","2.0NRT",281.37,0.6,"N"
"28",31.1219,29.80553,297.09,0.77,0.77,"2023-03-27",52,1,"nominal","2.0NRT",286.79,1.24,"N"
"29",31.12391,29.80754,298.38,0.77,0.78,"2023-03-27",52,1,"nominal","2.0NRT",286.19,1.05,"N"
"30",31.12164,29.81526,296.48,0.77,0.78,"2023-03-27",52,1,"nominal","2.0NRT",285.82,1.05,"N"
"31",31.02694,29.75127,298.95,0.77,0.77,"2023-03-27",52,1,"nominal","2.0NRT",285.39,1.7,"N"
"32",31.02902,29.75128,303.8,0.77,0.77,"2023-03-27",52,1,"nominal","2.0NRT",285.47,2.55,"N"
"33",31.02685,29.7587,301.72,0.77,0.78,"2023-03-27",52,1,"nominal","2.0NRT",286.64,2.68,"N"
"34",30.93521,27.55512,299.16,0.58,0.7,"2023-03-27",52,1,"nominal","2.0NRT",281.99,0.78,"N"
"35",30.86194,27.59904,295.21,0.59,0.7,"2023-03-27",52,1,"nominal","2.0NRT",280.04,0.75,"N"
"36",30.86643,27.59986,299.39,0.59,0.7,"2023-03-27",52,1,"nominal","2.0NRT",280.57,0.68,"N"
"37",30.54119,28.49191,305.75,0.68,0.74,"2023-03-27",52,1,"nominal","2.0NRT",282.3,1.3,"N"
"38",30.81587,27.26849,297.18,0.57,0.69,"2023-03-27",52,1,"nominal","2.0NRT",279.66,0.76,"N"
"39",30.77087,27.10064,304.46,0.56,0.68,"2023-03-27",52,1,"nominal","2.0NRT",280.1,1.21,"N"
"40",30.76934,27.1062,301.81,0.56,0.68,"2023-03-27",52,1,"nominal","2.0NRT",281.45,1.21,"N"
"41",30.77144,27.1058,315.91,0.56,0.69,"2023-03-27",52,1,"nominal","2.0NRT",281.81,2.14,"N"
"42",30.85621,26.6174,311.09,0.52,0.67,"2023-03-27",52,1,"nominal","2.0NRT",279.32,1.67,"N"
"43",30.85482,26.62261,307.96,0.52,0.67,"2023-03-27",52,1,"nominal","2.0NRT",279.99,1.67,"N"
"44",30.36952,27.22573,299.77,0.58,0.7,"2023-03-27",52,1,"nominal","2.0NRT",278.07,1.59,"N"
"45",30.36793,27.23144,303.18,0.58,0.7,"2023-03-27",52,1,"nominal","2.0NRT",278.66,1.75,"N"
"46",30.37168,27.23019,323.28,0.58,0.7,"2023-03-27",52,1,"nominal","2.0NRT",279.25,2.15,"N"
"47",30.53552,26.08025,312.2,0.49,0.65,"2023-03-27",52,1,"nominal","2.0NRT",280.81,1.17,"N"
"48",29.85341,27.94968,297.74,0.65,0.73,"2023-03-27",52,1,"nominal","2.0NRT",282.19,1.22,"N"
"49",30.30525,26.04052,299.67,0.5,0.65,"2023-03-27",52,1,"nominal","2.0NRT",279.15,0.77,"N"
"50",71.01186,73.87892,353.92,0.33,0.55,"2023-03-27",37,1,"nominal","2.0NRT",242.29,3.8,"N"
"51",71.00922,73.88316,327.88,0.33,0.55,"2023-03-27",37,1,"nominal","2.0NRT",242.72,3.8,"N"
"52",71.10816,72.39222,323.55,0.62,0.54,"2023-03-27",37,1,"nominal","2.0NRT",242.3,4.19,"N"
"53",71.10834,72.38702,325.52,0.62,0.54,"2023-03-27",37,1,"nominal","2.0NRT",242.04,4.99,"N"
"54",71.1742,67.15804,327.25,0.53,0.5,"2023-03-27",39,1,"nominal","2.0NRT",245.14,3.8,"N"
"55",71.17078,66.95534,330.26,0.53,0.5,"2023-03-27",39,1,"nominal","2.0NRT",242.15,1.95,"N"
"56",71.16812,66.94344,335.95,0.53,0.5,"2023-03-27",39,1,"nominal","2.0NRT",242.29,5.79,"N"
"57",29.64251,129.7171,331.41,0.4,0.6,"2023-03-27",342,1,"nominal","2.0NRT",293.22,3.04,"D"
"58",31.25768,130.63643,345.99,0.32,0.55,"2023-03-27",345,1,"nominal","2.0NRT",298.04,3.2,"D"
"59",31.2647,130.26271,335.83,0.34,0.56,"2023-03-27",345,1,"nominal","2.0NRT",295.32,1.95,"D"
"60",34.84806,136.54803,343.05,0.42,0.38,"2023-03-27",345,1,"nominal","2.0NRT",292.65,3.31,"D"
