"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",67.56008,83.22085,326.66,0.77,0.77,"2023-02-21",113,1,"nominal","2.0NRT",253.3,4.46,"N"
"2",67.56103,83.20752,336.16,0.77,0.77,"2023-02-21",113,1,"nominal","2.0NRT",251.87,5.15,"N"
"3",67.33893,83.13256,355.54,0.8,0.78,"2023-02-21",113,1,"nominal","2.0NRT",252.55,9.44,"N"
"4",67.33833,83.12453,332.19,0.8,0.78,"2023-02-21",113,1,"nominal","2.0NRT",248.4,4.31,"N"
"5",68.57209,80.32855,355.69,0.63,0.72,"2023-02-21",113,1,"nominal","2.0NRT",257.79,11.48,"N"
"6",66.99873,76.39835,341.83,0.77,0.77,"2023-02-21",115,1,"nominal","2.0NRT",247.65,12.02,"N"
"7",67.01885,76.19264,324.38,0.76,0.77,"2023-02-21",115,1,"nominal","2.0NRT",245.91,4.16,"N"
"8",66.90885,75.60574,341.43,0.77,0.77,"2023-02-21",115,1,"nominal","2.0NRT",249.35,6.45,"N"
"9",66.96027,75.54683,348.04,0.76,0.77,"2023-02-21",115,1,"nominal","2.0NRT",248.39,14.01,"N"
"10",66.95897,75.53461,336.03,0.76,0.77,"2023-02-21",115,1,"nominal","2.0NRT",246.96,7.97,"N"
"11",66.95232,75.53989,330.3,0.76,0.77,"2023-02-21",115,1,"nominal","2.0NRT",247.21,7.97,"N"
"12",66.95019,75.52244,322.6,0.76,0.77,"2023-02-21",115,1,"nominal","2.0NRT",246.07,6.66,"N"
"13",66.20365,70.99724,327.74,0.78,0.78,"2023-02-21",115,1,"nominal","2.0NRT",249.71,4.84,"N"
"14",59.15846,37.84056,324.96,0.44,0.63,"2023-02-21",119,1,"nominal","2.0NRT",257.42,2.65,"N"
"15",59.13273,37.79443,323.18,0.44,0.63,"2023-02-21",119,1,"nominal","2.0NRT",256.48,2.39,"N"
"16",51.8936,29.33929,312.77,0.45,0.63,"2023-02-21",121,1,"nominal","2.0NRT",273.42,1.5,"N"
"17",51.88844,29.33485,301.23,0.45,0.63,"2023-02-21",121,1,"nominal","2.0NRT",271.59,1.5,"N"
"18",9.97475,122.79635,336.52,0.71,0.75,"2023-02-21",414,1,"nominal","2.0NRT",288.03,8.67,"D"
"19",25.42725,117.80967,342.82,0.7,0.75,"2023-02-21",421,1,"nominal","2.0NRT",286.62,6.63,"D"
"20",26.1784,118.30145,329.15,0.63,0.72,"2023-02-21",421,1,"nominal","2.0NRT",283.91,4.2,"D"
"21",26.05629,117.75188,340.58,0.68,0.74,"2023-02-21",421,1,"nominal","2.0NRT",285.96,9.33,"D"
"22",26.05332,117.7538,343.24,0.68,0.74,"2023-02-21",421,1,"nominal","2.0NRT",285.85,12.22,"D"
"23",26.67766,119.01366,331.69,0.55,0.68,"2023-02-21",421,1,"nominal","2.0NRT",285.27,4.95,"D"
"24",26.67727,118.93455,343.99,0.56,0.69,"2023-02-21",421,1,"nominal","2.0NRT",286.58,5.3,"D"
"25",26.65518,118.33903,351.45,0.61,0.71,"2023-02-21",421,1,"nominal","2.0NRT",284.72,8.94,"D"
"26",26.65408,118.33476,341.81,0.61,0.71,"2023-02-21",421,1,"nominal","2.0NRT",286.56,8.94,"D"
"27",27.12895,119.29117,335.68,0.52,0.67,"2023-02-21",421,1,"nominal","2.0NRT",287.87,4.84,"D"
"28",27.13034,119.28927,327.51,0.52,0.67,"2023-02-21",421,1,"nominal","2.0NRT",287.27,3.4,"D"
"29",27.28227,118.71657,342.5,0.56,0.68,"2023-02-21",421,1,"nominal","2.0NRT",290.26,5.24,"D"
"30",27.02348,117.53283,325.77,0.66,0.73,"2023-02-21",421,1,"nominal","2.0NRT",283.81,6.44,"D"
