"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",42.33803,140.98396,303.72,0.43,0.46,"2022-12-05",1602,1,"nominal","2.0NRT",264.99,1.22,"N"
"2",42.33757,140.98926,305.66,0.43,0.46,"2022-12-05",1602,1,"nominal","2.0NRT",267.18,1.22,"N"
"3",40.53527,141.4998,336.85,0.39,0.44,"2022-12-05",1602,1,"nominal","2.0NRT",275.85,11.49,"N"
"4",40.51689,141.52007,299.11,0.39,0.44,"2022-12-05",1602,1,"nominal","2.0NRT",273.02,0.89,"N"
"5",34.75699,134.36122,303.48,0.41,0.61,"2022-12-05",1605,1,"nominal","2.0NRT",278.32,1.17,"N"
"6",34.72515,134.82082,322.24,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",279.75,2.51,"N"
"7",34.75136,134.3607,299.47,0.41,0.61,"2022-12-05",1605,1,"nominal","2.0NRT",277.8,1.17,"N"
"8",34.75111,134.36522,295.7,0.41,0.61,"2022-12-05",1605,1,"nominal","2.0NRT",278.6,1.4,"N"
"9",34.72457,134.82111,325.5,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",280.54,1.9,"N"
"10",34.75361,134.36174,309.58,0.41,0.61,"2022-12-05",1605,1,"nominal","2.0NRT",278.45,2.34,"N"
"11",34.72429,134.82541,306.17,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",279.86,1.9,"N"
"12",34.72401,134.8297,308.28,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",282.02,1.41,"N"
"13",34.71909,134.82059,299.52,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",278.75,1.9,"N"
"14",34.71854,134.82915,297.36,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",281.88,1.41,"N"
"15",34.71389,134.81567,319.43,0.39,0.59,"2022-12-05",1605,1,"nominal","2.0NRT",282.32,1.68,"N"
