"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",16.1263,32.68594,310.53,0.34,0.56,"2023-04-15",1,1,"nominal","2.0NRT",293.64,1.56,"N"
"2",18.06989,121.83735,302.5,0.33,0.55,"2023-04-15",1654,1,"nominal","2.0NRT",290.42,0.3,"N"
"3",17.19426,121.54539,301.91,0.33,0.56,"2023-04-15",1656,1,"nominal","2.0NRT",289.06,1.32,"N"
"4",14.90049,121.0755,307.02,0.33,0.56,"2023-04-15",1656,1,"nominal","2.0NRT",288.46,0.94,"N"
"5",14.47339,120.59055,316.13,0.36,0.57,"2023-04-15",1656,1,"nominal","2.0NRT",284.22,1.09,"N"
"6",14.01351,120.99848,319.42,0.33,0.55,"2023-04-15",1656,1,"nominal","2.0NRT",293.3,1.98,"N"
"7",14.01311,121.00179,313.92,0.33,0.55,"2023-04-15",1656,1,"nominal","2.0NRT",292.27,1.98,"N"
"8",14.00838,120.99824,319.7,0.33,0.55,"2023-04-15",1656,1,"nominal","2.0NRT",292.73,1.98,"N"
"9",14.008,121.00134,310.44,0.33,0.55,"2023-04-15",1656,1,"nominal","2.0NRT",291.84,1.98,"N"
"10",12.49382,121.01556,313.05,0.63,0.54,"2023-04-15",1656,1,"nominal","2.0NRT",289.57,2.48,"N"
"11",12.10282,121.37415,306.26,0.59,0.53,"2023-04-15",1656,1,"nominal","2.0NRT",291.31,2.37,"N"
"12",10.89383,124.43384,314.35,0.54,0.42,"2023-04-15",1656,1,"nominal","2.0NRT",293.39,3.21,"N"
"13",42.32107,125.23263,299.86,0.37,0.58,"2023-04-15",1648,1,"nominal","2.0NRT",271.7,0.73,"N"
"14",42.32026,125.24996,297.98,0.37,0.58,"2023-04-15",1648,1,"nominal","2.0NRT",273.9,0.83,"N"
"15",42.32342,125.23455,304.85,0.37,0.58,"2023-04-15",1648,1,"nominal","2.0NRT",273.6,1.15,"N"
"16",42.26905,119.13777,295.21,0.76,0.77,"2023-04-15",1648,1,"nominal","2.0NRT",270.95,1.64,"N"
"17",41.85382,123.99733,315.74,0.42,0.61,"2023-04-15",1648,1,"nominal","2.0NRT",273.35,2.01,"N"
"18",41.85763,123.99724,314.61,0.42,0.61,"2023-04-15",1648,1,"nominal","2.0NRT",273.17,2.05,"N"
"19",41.8448,123.75365,296.02,0.44,0.62,"2023-04-15",1648,1,"nominal","2.0NRT",276.33,1.11,"N"
"20",41.26659,123.67407,319.88,0.44,0.62,"2023-04-15",1648,1,"nominal","2.0NRT",274.93,2.08,"N"
"21",41.22201,123.61857,299.2,0.44,0.62,"2023-04-15",1648,1,"nominal","2.0NRT",278.46,1.52,"N"
"22",41.16218,122.99917,327.78,0.47,0.64,"2023-04-15",1648,1,"nominal","2.0NRT",280.52,2.52,"N"
"23",41.16236,122.99345,307.88,0.47,0.64,"2023-04-15",1648,1,"nominal","2.0NRT",277.36,2.52,"N"
"24",41.16507,122.99765,323,0.47,0.64,"2023-04-15",1648,1,"nominal","2.0NRT",279.67,2.19,"N"
"25",41.15911,122.99735,313.83,0.47,0.64,"2023-04-15",1648,1,"nominal","2.0NRT",277.36,2.19,"N"
"26",41.14125,122.99615,298.53,0.47,0.64,"2023-04-15",1648,1,"nominal","2.0NRT",280.33,0.85,"N"
"27",41.1353,122.9958,301.55,0.47,0.64,"2023-04-15",1648,1,"nominal","2.0NRT",280.82,0.85,"N"
"28",41.01788,122.2641,299.77,0.51,0.66,"2023-04-15",1648,1,"nominal","2.0NRT",272.91,0.89,"N"
"29",40.66394,122.41561,298.34,0.5,0.66,"2023-04-15",1648,1,"nominal","2.0NRT",279.87,1.14,"N"
"30",40.6638,122.41608,299.99,0.5,0.66,"2023-04-15",1648,1,"nominal","2.0NRT",280.17,0.85,"N"
"31",40.11386,118.7324,295.49,0.78,0.78,"2023-04-15",1648,1,"nominal","2.0NRT",281.83,3.33,"N"
"32",40.11248,118.73639,295.63,0.78,0.78,"2023-04-15",1648,1,"nominal","2.0NRT",282.62,2.31,"N"
"33",39.80183,120.61015,321.72,0.62,0.71,"2023-04-15",1648,1,"nominal","2.0NRT",273.2,2.86,"N"
"34",39.44708,126.02048,297.22,0.63,0.54,"2023-04-15",1648,1,"nominal","2.0NRT",270.6,1.4,"N"
"35",39.58272,121.43303,296.24,0.56,0.69,"2023-04-15",1648,1,"nominal","2.0NRT",277.18,0.95,"N"
"36",39.46694,120.44514,316.62,0.63,0.72,"2023-04-15",1648,1,"nominal","2.0NRT",272.89,2.75,"N"
"37",39.46681,120.45261,317.71,0.63,0.72,"2023-04-15",1648,1,"nominal","2.0NRT",273.55,2.75,"N"
"38",39.47029,120.44724,320.78,0.63,0.72,"2023-04-15",1648,1,"nominal","2.0NRT",272.88,3.64,"N"
"39",39.47013,120.45472,301.63,0.63,0.72,"2023-04-15",1648,1,"nominal","2.0NRT",272.91,3.35,"N"
"40",39.28212,119.02341,298.01,0.75,0.77,"2023-04-15",1650,1,"nominal","2.0NRT",279.65,1.44,"N"
"41",36.02765,129.39461,297.41,0.57,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",282.78,1.13,"N"
"42",36.02366,129.39395,306.66,0.57,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",284.31,1.13,"N"
"43",36.0092,129.3775,313.97,0.38,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",282.05,1.75,"N"
"44",36.00874,129.38179,297.19,0.38,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",283.39,1.87,"N"
"45",36.00372,129.39073,297.66,0.57,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",283.23,0.85,"N"
"46",36.00304,129.39709,299.87,0.57,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",283.24,0.85,"N"
"47",36.00122,129.37621,306.44,0.38,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",280.47,0.97,"N"
"48",35.99906,129.39644,298.85,0.57,0.43,"2023-04-15",1650,1,"nominal","2.0NRT",281.73,0.85,"N"
