"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",54.13583,37.55206,295.18,0.53,0.42,"2022-11-10",13,1,"nominal","2.0NRT",268.25,0.84,"N"
"2",52.84806,29.98938,313.02,0.39,0.36,"2022-11-10",13,1,"nominal","2.0NRT",262.69,1.28,"N"
"3",51.25964,37.76524,301.41,0.43,0.46,"2022-11-10",13,1,"nominal","2.0NRT",274.87,1.44,"N"
"4",50.14194,39.67875,319.17,0.55,0.51,"2022-11-10",13,1,"nominal","2.0NRT",274.04,3.55,"N"
"5",51.89042,29.33995,342.21,0.38,0.36,"2022-11-10",13,1,"nominal","2.0NRT",263.42,8.19,"N"
"6",46.78019,48.1183,300.91,0.79,0.78,"2022-11-10",13,1,"nominal","2.0NRT",268.43,3.52,"N"
"7",46.7767,48.12744,316.57,0.79,0.78,"2022-11-10",13,1,"nominal","2.0NRT",267.73,2.47,"N"
"8",46.77319,48.13662,296.48,0.79,0.78,"2022-11-10",13,1,"nominal","2.0NRT",264.8,2.47,"N"
"9",46.78242,48.12176,295.37,0.79,0.78,"2022-11-10",13,1,"nominal","2.0NRT",268.06,2.2,"N"
"10",46.77895,48.13097,300.11,0.79,0.78,"2022-11-10",13,1,"nominal","2.0NRT",267.31,2.2,"N"
"11",46.77267,48.12572,296.14,0.79,0.78,"2022-11-10",13,1,"nominal","2.0NRT",266.57,2.2,"N"
"12",49.52181,37.95897,302.81,0.49,0.48,"2022-11-10",13,1,"nominal","2.0NRT",270.68,1.41,"N"
"13",50.54432,26.25731,314.17,0.39,0.37,"2022-11-10",13,1,"nominal","2.0NRT",271.93,1.23,"N"
"14",48.52888,34.65173,299.1,0.57,0.43,"2022-11-10",13,1,"nominal","2.0NRT",274.13,1.6,"N"
"15",48.47438,34.63086,301.32,0.57,0.43,"2022-11-10",13,1,"nominal","2.0NRT",275.84,1.55,"N"
"16",48.47153,34.62974,296.67,0.57,0.43,"2022-11-10",13,1,"nominal","2.0NRT",273.52,2.02,"N"
"17",47.87115,35.16636,317.54,0.41,0.45,"2022-11-10",15,1,"nominal","2.0NRT",273.64,1.2,"N"
"18",47.8768,33.41586,295.19,0.53,0.42,"2022-11-10",15,1,"nominal","2.0NRT",276.08,0.81,"N"
"19",44.88373,38.11432,299.37,0.33,0.56,"2022-11-10",15,1,"nominal","2.0NRT",275.01,0.47,"N"
"20",44.84005,37.67824,306.37,0.32,0.55,"2022-11-10",15,1,"nominal","2.0NRT",279.83,1.26,"N"
"21",44.73483,37.80553,324.83,0.33,0.55,"2022-11-10",15,1,"nominal","2.0NRT",283.58,1.79,"N"
"22",45.37505,30.92973,332.04,0.48,0.4,"2022-11-10",15,1,"nominal","2.0NRT",287.39,8.71,"N"
"23",45.32884,28.60886,308.29,0.41,0.37,"2022-11-10",15,1,"nominal","2.0NRT",277.59,0.92,"N"
"24",45.42231,27.96436,330.77,0.4,0.37,"2022-11-10",15,1,"nominal","2.0NRT",279.37,2.99,"N"
"25",43.23359,27.59389,296.91,0.41,0.37,"2022-11-10",15,1,"nominal","2.0NRT",278.16,0.59,"N"
"26",42.4142,27.26638,302.12,0.41,0.37,"2022-11-10",15,1,"nominal","2.0NRT",276.49,0.67,"N"
"27",42.41087,27.26529,299.72,0.41,0.37,"2022-11-10",15,1,"nominal","2.0NRT",276.19,0.67,"N"
"28",42.1799,27.226,295.88,0.41,0.37,"2022-11-10",15,1,"nominal","2.0NRT",278.11,0.66,"N"
"29",41.2681,31.42256,307.63,0.4,0.44,"2022-11-10",15,1,"nominal","2.0NRT",282.24,1.63,"N"
"30",41.79628,26.7029,299.4,0.4,0.37,"2022-11-10",17,1,"nominal","2.0NRT",279.13,0.79,"N"
"31",41.0213,28.55542,314.12,0.46,0.39,"2022-11-10",17,1,"nominal","2.0NRT",282.88,1.99,"N"
"32",40.75777,29.76025,298.28,0.52,0.41,"2022-11-10",17,1,"nominal","2.0NRT",283.31,1.15,"N"
"33",40.78211,29.60314,301.75,0.51,0.41,"2022-11-10",17,1,"nominal","2.0NRT",284.75,1.33,"N"
"34",40.74915,29.76356,297.52,0.52,0.41,"2022-11-10",17,1,"nominal","2.0NRT",283.9,1.2,"N"
