"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",54.88575,56.10944,322.38,0.64,0.72,"2023-03-29",5,1,"nominal","2.0NRT",271.77,2.14,"N"
"2",54.8805,56.10212,298.19,0.64,0.72,"2023-03-29",5,1,"nominal","2.0NRT",271.98,2.14,"N"
"3",54.85022,56.11546,297.06,0.65,0.73,"2023-03-29",5,1,"nominal","2.0NRT",272.06,1.34,"N"
"4",58.73452,42.66348,295.39,0.52,0.42,"2023-03-29",5,1,"nominal","2.0NRT",265.94,0.7,"N"
"5",58.25114,43.28342,296.76,0.56,0.43,"2023-03-29",5,1,"nominal","2.0NRT",266.71,1.21,"N"
"6",58.09738,43.3774,325.91,0.57,0.43,"2023-03-29",5,1,"nominal","2.0NRT",271.17,12.24,"N"
"7",57.86979,43.7822,313.09,0.4,0.44,"2023-03-29",5,1,"nominal","2.0NRT",269.33,1.37,"N"
"8",59.14268,37.82507,295.85,0.41,0.37,"2023-03-29",5,1,"nominal","2.0NRT",263.81,0.94,"N"
"9",59.13623,37.8205,296.71,0.41,0.37,"2023-03-29",5,1,"nominal","2.0NRT",264.94,1.09,"N"
"10",59.13633,37.79834,295.34,0.41,0.37,"2023-03-29",5,1,"nominal","2.0NRT",265.52,3.75,"N"
"11",59.13311,37.79604,341.49,0.41,0.37,"2023-03-29",5,1,"nominal","2.0NRT",273.61,3.75,"N"
"12",59.13437,37.78931,317.19,0.4,0.37,"2023-03-29",5,1,"nominal","2.0NRT",269.7,3.75,"N"
"13",59.13184,37.80278,295.31,0.41,0.37,"2023-03-29",5,1,"nominal","2.0NRT",266.06,1.65,"N"
"14",59.12989,37.79375,333.27,0.41,0.37,"2023-03-29",5,1,"nominal","2.0NRT",268.75,2.27,"N"
"15",59.13115,37.78702,295.46,0.4,0.37,"2023-03-29",5,1,"nominal","2.0NRT",268.21,2.27,"N"
"16",52.81249,53.0148,315.08,0.62,0.71,"2023-03-29",7,1,"nominal","2.0NRT",272.37,1.66,"N"
"17",53.04281,52.41054,324.08,0.58,0.69,"2023-03-29",7,1,"nominal","2.0NRT",273.2,2.42,"N"
"18",52.81083,53.019,302.21,0.62,0.71,"2023-03-29",7,1,"nominal","2.0NRT",272.31,1.36,"N"
"19",53.19194,51.01199,297.7,0.51,0.66,"2023-03-29",7,1,"nominal","2.0NRT",271.97,0.63,"N"
"20",53.18911,50.99996,300.01,0.51,0.66,"2023-03-29",7,1,"nominal","2.0NRT",272.26,0.63,"N"
"21",52.07848,53.35987,300.38,0.68,0.74,"2023-03-29",7,1,"nominal","2.0NRT",273.42,0.81,"N"
