"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",68.57552,80.31542,333.96,0.58,0.69,"2023-02-17",49,1,"nominal","2.0NRT",251.18,7.55,"N"
"2",68.57053,80.31992,336.09,0.58,0.69,"2023-02-17",49,1,"nominal","2.0NRT",252.97,7.77,"N"
"3",68.57487,80.3277,339.18,0.58,0.69,"2023-02-17",49,1,"nominal","2.0NRT",252.15,4.97,"N"
"4",68.5728,80.31097,326.4,0.58,0.69,"2023-02-17",49,1,"nominal","2.0NRT",251.58,3.52,"N"
"5",59.05325,52.32366,367,0.74,0.76,"2023-02-17",54,1,"high","2.0NRT",252.94,18.03,"N"
"6",59.05211,52.32755,367,0.74,0.76,"2023-02-17",54,1,"high","2.0NRT",254.79,17.11,"N"
"7",59.13411,37.7843,327.86,0.57,0.52,"2023-02-17",56,1,"nominal","2.0NRT",261.96,3.72,"N"
"8",54.17054,37.71269,329.34,0.44,0.62,"2023-02-17",56,1,"nominal","2.0NRT",258.5,3.55,"N"
"9",54.16851,37.71856,322.16,0.44,0.62,"2023-02-17",56,1,"nominal","2.0NRT",259.84,3.55,"N"
"10",49.52847,30.78199,324.09,0.35,0.57,"2023-02-17",58,1,"nominal","2.0NRT",259,2.36,"N"
"11",45.37597,30.93087,320.41,0.48,0.65,"2023-02-17",100,1,"nominal","2.0NRT",269.74,3.34,"N"
"12",45.37776,30.92523,314.19,0.48,0.65,"2023-02-17",100,1,"nominal","2.0NRT",267.63,3.12,"N"
"13",45.37859,30.92846,326.78,0.48,0.65,"2023-02-17",100,1,"nominal","2.0NRT",268.71,2.26,"N"
"14",45.37313,30.92498,306.29,0.48,0.65,"2023-02-17",100,1,"nominal","2.0NRT",268.33,2.26,"N"
"15",41.26847,31.42103,296.11,0.68,0.74,"2023-02-17",100,1,"nominal","2.0NRT",274.66,2.72,"N"
"16",41.25592,31.41373,298.9,0.68,0.74,"2023-02-17",100,1,"nominal","2.0NRT",271.34,1.37,"N"
"17",41.25446,31.40966,311.35,0.68,0.74,"2023-02-17",100,1,"nominal","2.0NRT",271.97,2.06,"N"
"18",40.79792,29.37494,298.51,0.56,0.69,"2023-02-17",102,1,"nominal","2.0NRT",274.74,1.13,"N"
"19",41.02049,28.55067,300.42,0.51,0.66,"2023-02-17",102,1,"nominal","2.0NRT",274.45,1.44,"N"
"20",41.02348,28.55497,308.57,0.51,0.66,"2023-02-17",102,1,"nominal","2.0NRT",276.18,1.37,"N"
"21",40.44648,27.13818,297.99,0.45,0.63,"2023-02-17",102,1,"nominal","2.0NRT",276.83,1.77,"N"
"22",38.73896,26.94591,311.07,0.49,0.65,"2023-02-17",102,1,"nominal","2.0NRT",280.46,2.02,"N"
"23",38.73082,26.92968,296.65,0.49,0.65,"2023-02-17",102,1,"nominal","2.0NRT",271.92,0.53,"N"
"24",30.53803,26.08246,309.36,0.74,0.76,"2023-02-17",104,1,"nominal","2.0NRT",275.77,2.02,"N"
"25",30.53826,26.08349,311.22,0.74,0.76,"2023-02-17",104,1,"nominal","2.0NRT",276.27,3.07,"N"
"26",67.18105,56.62293,331.42,0.74,0.76,"2023-02-17",232,1,"nominal","2.0NRT",256.9,4.7,"N"
"27",68.41445,83.62881,354.22,0.67,0.74,"2023-02-17",228,1,"nominal","2.0NRT",257.95,10.09,"N"
"28",68.57287,80.32374,342.11,0.67,0.74,"2023-02-17",228,1,"nominal","2.0NRT",248.54,6.86,"N"
