"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",66.99952,76.40015,321.67,0.77,0.77,"2023-02-05",115,1,"nominal","2.0NRT",257.27,4.89,"N"
"2",66.95748,75.53341,367,0.76,0.77,"2023-02-05",115,1,"high","2.0NRT",257.4,28.55,"N"
"3",66.96016,75.53615,336.1,0.76,0.77,"2023-02-05",115,1,"nominal","2.0NRT",254.96,18.96,"N"
"4",66.95351,75.54141,351.69,0.76,0.77,"2023-02-05",115,1,"nominal","2.0NRT",261.08,25.94,"N"
"5",35.54775,140.21201,325.94,0.56,0.69,"2023-02-05",240,1,"nominal","2.0NRT",286.53,5.15,"D"
"6",35.55204,140.20346,326.69,0.56,0.69,"2023-02-05",240,1,"nominal","2.0NRT",285.28,5.82,"D"
"7",35.92951,140.67494,326.2,0.52,0.67,"2023-02-05",240,1,"nominal","2.0NRT",289.33,2.78,"D"
"8",36.29623,140.35959,325.87,0.53,0.67,"2023-02-05",240,1,"nominal","2.0NRT",286.38,2,"D"
"9",36.33861,140.04596,325.6,0.55,0.68,"2023-02-05",240,1,"nominal","2.0NRT",287.71,2.44,"D"
"10",36.81764,139.9843,337.52,0.54,0.67,"2023-02-05",242,1,"nominal","2.0NRT",285.29,5.86,"D"
"11",36.81604,139.97871,332.62,0.54,0.68,"2023-02-05",242,1,"nominal","2.0NRT",282.55,5.86,"D"
"12",36.82027,139.97041,336.96,0.54,0.68,"2023-02-05",242,1,"nominal","2.0NRT",285.3,6.18,"D"
"13",36.81963,139.96873,328.99,0.54,0.68,"2023-02-05",242,1,"nominal","2.0NRT",284.21,5.55,"D"
"14",70.60622,68.00975,321.26,0.49,0.65,"2023-02-05",255,1,"nominal","2.0NRT",253.77,2.75,"N"
"15",17.72768,121.56985,331.57,0.6,0.71,"2023-02-05",416,1,"nominal","2.0NRT",294.6,3.05,"D"
"16",17.73402,121.5683,329.88,0.6,0.71,"2023-02-05",416,1,"nominal","2.0NRT",293.93,3.05,"D"
"17",17.58347,120.80064,341.54,0.68,0.74,"2023-02-05",416,1,"nominal","2.0NRT",298.18,8.67,"D"
"18",17.58192,120.79371,331.79,0.68,0.74,"2023-02-05",416,1,"nominal","2.0NRT",297.73,7.5,"D"
"19",17.76191,121.57355,329.13,0.6,0.71,"2023-02-05",416,1,"nominal","2.0NRT",289.73,1.51,"D"
