"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",60.52451,28.13319,302.88,0.45,0.39,"2022-08-22",11,1,"nominal","2.0NRT",288.21,0.31,"N"
"2",60.52102,28.13154,326.91,0.45,0.39,"2022-08-22",11,1,"nominal","2.0NRT",288.9,1.95,"N"
"3",60.52193,28.12354,313.24,0.45,0.39,"2022-08-22",11,1,"nominal","2.0NRT",287.9,2.03,"N"
"4",59.5309,34.14808,335.39,0.39,0.36,"2022-08-22",11,1,"nominal","2.0NRT",291.32,4.12,"N"
"5",59.52442,34.16571,300.79,0.39,0.36,"2022-08-22",11,1,"nominal","2.0NRT",286.21,0.87,"N"
"6",55.9378,48.38264,342.04,0.37,0.58,"2022-08-22",11,1,"nominal","2.0NRT",289.13,4.58,"N"
"7",55.93946,48.37754,298.11,0.37,0.58,"2022-08-22",11,1,"nominal","2.0NRT",285.6,2.47,"N"
"8",56.42446,45.66685,307,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",284.82,1.7,"N"
"9",56.42022,45.66278,304.79,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",284.43,1.7,"N"
"10",56.41778,45.67108,296.2,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",285.83,1.6,"N"
"11",56.42083,45.64214,295.34,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",284.66,0.67,"N"
"12",56.4184,45.65042,317.1,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",287.45,2.47,"N"
"13",56.41597,45.65873,300.21,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",285.7,2.47,"N"
"14",56.41659,45.63808,305.04,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",285.37,0.67,"N"
"15",56.38135,45.64685,298.63,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",284.32,0.53,"N"
"16",56.37646,45.66337,301.59,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",285.44,1.81,"N"
"17",56.37402,45.67164,303.09,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",285.61,2.03,"N"
"18",56.36191,45.63882,298.32,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",288.27,2.83,"N"
"19",56.3503,45.65957,296.09,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",285.93,1.44,"N"
"20",56.36319,45.59775,301.31,0.57,0.52,"2022-08-22",11,1,"nominal","2.0NRT",289.29,1.65,"N"
